id,idx_start,idx_end,data_size
00,11385,12092,12092
01,19384,20092,20092
02,6675,8675,9762
03,20098,20637,20637
04,8821,9509,9509
05,11018,13018,13455
06,6581,8581,9192
07,10725,12517,12517
08,26690,28690,29562
09,8833,10833,11704
10,10199,12199,13523
11,9609,11609,15187
12,18118,20118,21348
13,12683,14683,20470
14,14236,16236,18027
15,11493,13493,14755
16,17610,19610,24512
17,7169,9169,11771
18,14043,16043,29434
19,10236,12236,18040
20,14888,16888,20606
21,15935,17935,23237
22,39118,41118,47668
23,4659,6659,9179
24,5774,6480,6480
25,5580,6285,6285
